2.นักศึกษาสังกัดหลักสูตร,3. เพศ,4. อายุ (ปี),6. สถานภาพสมรส (ปัจจุบัน),7. ท่านมีความต้องการสำเร็จการศึกษาตามระยะเวลาที่หลักสูตรกำหนดหรือไม่,8. ท่านทราบและเข้าใจถึงหลักเกณฑ์และวิธีการสำเร็จการศึกษาระดับบัณฑิตศึกษาหรือไม่,ความรู้ความเข้าใจแผนการเรียนที่กำหนดไว้ในหลักสูตร,ความรู้และความเข้าใจในการเรียนในแต่ละรายวิชา,หลักสูตรมีการจัดกิจกรรมการเรียนการสอนที่เน้นผู้เรียนเป็นสำคัญ,หลักสูตรมีความพร้อมของสถานที่ เครื่องมือ และอุปกรณ์การเรียน,การให้ความสนับสนุนข้อมูลต่างๆ ของเจ้าหน้าที่บัณฑิตศึกษา,การจัดเวลาให้นักศึกษาเข้าพบ,การวางแผนการเรียนระหว่างอาจารย์กับนักศึกษา,การติดตามการทำวิทยานิพนธ์ของนักศึกษาอย่างสม่ำเสมอ,การมีความรู้ความเข้าใจในกฎระเบียบ และข้อกำหนดเกี่ยวกับวิทยานิพนธ์,ความรอบรู้ และความชำนาญของอาจารย์ที่ปรึกษาในหัวข้อวิทยานิพนธ์,ความพร้อมในการเป็นอาจารย์ที่ปรึกษา,การสนับสนุนให้นักศึกษาขอทุนสนับสนุนการวิจัย,การสนับสนุนให้นักศึกษานำเสนอผลงานในที่ประชุมหรือตีพิมพ์ในวารสารวิชาการ,ความชื่นชอบอาจารย์ผู้สอน และอาจารย์ที่ปรึกษา,ปัจจัยส่งผลต่อการสำเร็จการศึกษาของนักศึกษาระดับบัณฑิตศึกษา (โปรดเลือกระดับความสำคัญที่ตรงกับความคิดเห็นของท่านมากที่สุดเพียงระดับเดียว) [3.1 การหาหัวข้อวิทยานิพนธ์],การเขียนเค้าโครงวิทยานิพนธ์,การวางแผนและการดำเนินการวิทยานิพนธ์,"สิ่งเร้าที่ทำให้นักศึกษามีพฤติกรรมในการอยากเรียนและศึกษาค้นคว้า(เพื่อนร่วมเรียนในชั้น,อุปกรณ์และเครื่องมือในการทดล",การเก็บรวบรวมข้อมูล,การวิเคราะห์ข้อมูล,การเขียนวิทยานิพนธ์,การสอบโครงร่างวิทยานิพนธ์,การสอบป้องกันร่างวิทยานิพนธ์,การส่งรูปเล่มวิทยานิพนธ์,การเผยแพร่ผลงานวิทยานิพนธ์,ท่านมีความรู้ความเข้าใจในกฎระเบียบและข้อกำหนดเกี่ยวกับวิทยานิพนธ์,มีวินัยในตนเอง,มีความใฝ่รู้ใฝ่เรียน,ท่านมีการเข้าพบอาจารย์ที่ปรึกษา หรือติดต่อประสานงานกับอาจารย์ที่ปรึกษา ผ่านช่องทางการสื่อสารต่างๆ,ท่านมีการวางแผนการเรียนระหว่างนักศึกษากับอาจารย์,ความรู้และความสามารถในการวิจัย เช่น การวางแผน/เก็บตัวอย่าง/ทำแลป,มีความสามารถในการสืบค้นข้อมูลในการทำวิทยานิพนธ์ และแหล่งเรียนรู้ต่างๆ,ท่านมีทักษะการเขียน การวิเคราะห์ สรุปผล,เมื่อท่านสำเร็จการศึกษาระดับปริญญาตรี ท่านมีความประสงค์จะศึกษาต่อระดับบัณฑิตศึกษา,มีความต้องการหาประสบการณ์และหาความรู้เพิ่มเติม,มีความเป็นไปได้มากน้อยเพียงใดที่คุณจะแนะนำเราให้กับเพื่อนหรือผู้ร่วมงาน,แรงผลักดันจากครอบครัว,สภาพคล่องด้านการเงิน,ต้องปฏิบัติงานประจำควบคู่ไปด้วยหรือไม่,ระยะเวลาในเดือน
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,โสด,ต้องการ,ทราบ,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,4,3,4,5,3,3,ไม่ปฏิบัติ,26
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,24,โสด,ต้องการ,ทราบ,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,4,5,5,5,5,3,4,4,3,3,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,27,โสด,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,โสด,ต้องการ,ทราบ,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,30,โสด,ต้องการ,ทราบ,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,4,5,5,5,4,3,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,สมรส,ต้องการ,ทราบ,3,3,4,3,4,5,4,3,3,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,5,4,3,3,3,3,4,4,4,3,3,3,4,4,ไม่ปฏิบัติ,48
หลักสูตร ปร.ด.สาขาวิชาการเพาะเลี้ยงสัตว์น้ำและทรัพยากรประมง,หญิง,37,สมรส,ต้องการ,ทราบ,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่ปฏิบัติ,42
หลักสูตร ปร.ด.สาขาวิชาเทคโนโลยียาง,ชาย,31,สมรส,ต้องการ,ทราบ,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่ปฏิบัติ,84
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,โสด,ต้องการ,ทราบ,4,4,4,2,4,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,35,สมรส,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,4,4,4,5,5,5,5,3,ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,หญิง,29,โสด,ต้องการ,ทราบ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,ไม่ปฏิบัติ,23
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,ชาย,28,โสด,ต้องการ,ไม่มั่นใจ,4,4,4,3,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,ไม่ปฏิบัติ,60
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,25,โสด,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,โสด,ต้องการ,ทราบ,4,4,3,2,3,3,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,5,5,3,3,3,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,โสด,ต้องการ,ทราบ,3,2,3,5,3,1,4,2,2,3,2,1,1,1,3,1,3,4,2,2,3,2,2,2,2,2,3,3,2,3,3,3,3,4,4,2,4,4,ปฏิบัติ,48
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,ชาย,27,โสด,ต้องการ,ทราบ,2,2,2,2,2,5,5,5,2,5,5,5,4,5,4,4,4,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,3,4,2,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,29,โสด,ต้องการ,ทราบ,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,4,3,3,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,29,โสด,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,28,โสด,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,2,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,28,โสด,ต้องการ,ทราบ,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,27,โสด,ต้องการ,ทราบ,4,4,5,3,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,ไม่ปฏิบัติ,24
หลักสูตร ปร.ด.สาขาวิชาเทคโนโลยียาง,หญิง,28,โสด,ต้องการ,ทราบ,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,4,5,4,ไม่ปฏิบัติ,48
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,28,โสด,ต้องการ,ทราบ,4,4,4,3,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,32,โสด,ไม่แน่ใจ,ทราบ,4,4,4,3,4,4,4,4,4,5,4,5,4,5,5,5,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,5,4,ปฏิบัติ,54
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,28,โสด,ต้องการ,ทราบ,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,4,4,5,5,3,4,4,4,4,3,4,4,5,3,ไม่ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,33,โสด,ต้องการ,ทราบ,5,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,3,3,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,โสด,ต้องการ,ทราบ,4,4,5,4,3,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,3,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,29,โสด,ต้องการ,ทราบ,4,4,4,4,4,4,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,โสด,ไม่แน่ใจ,ทราบ,4,4,4,2,3,4,4,4,4,5,5,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,ไม่ปฏิบัติ,60
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,27,โสด,ต้องการ,ทราบ,5,4,4,4,4,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,ไม่ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,โสด,ต้องการ,ทราบ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,หญิง,28,โสด,ต้องการ,ทราบ,4,4,4,4,3,4,4,4,4,5,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,5,ไม่ปฏิบัติ,33
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,โสด,ต้องการ,ทราบ,4,4,4,3,4,5,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,5,5,4,4,4,ปฏิบัติ,48
