2.นักศึกษาสังกัดหลักสูตร,3. เพศ,4. อายุ (ปี),5.ระยะเวลาในการศึกษาระดับบัณฑิตศึกษา (ระบุจำนวนปีและเดือน),6. สถานภาพสมรส (ปัจจุบัน),7. ท่านมีความต้องการสำเร็จการศึกษาตามระยะเวลาที่หลักสูตรกำหนดหรือไม่,8. ท่านทราบและเข้าใจถึงหลักเกณฑ์และวิธีการสำเร็จการศึกษาระดับบัณฑิตศึกษาหรือไม่,ด้านลักษณะการจัดการเรียนการสอนและหลักสูตร,ความรู้ความเข้าใจแผนการเรียนที่กำหนดไว้ในหลักสูตร,ความรู้และความเข้าใจในการเรียนในแต่ละรายวิชา,หลักสูตรมีการจัดกิจกรรมการเรียนการสอนที่เน้นผู้เรียนเป็นสำคัญ,หลักสูตรมีความพร้อมของสถานที่ เครื่องมือ และอุปกรณ์การเรียน,การให้ความสนับสนุนข้อมูลต่างๆ ของเจ้าหน้าที่บัณฑิตศึกษา,อาจารย์ที่ปรึกษาวิทยานิพนธ์,การจัดเวลาให้นักศึกษาเข้าพบ,การวางแผนการเรียนระหว่างอาจารย์กับนักศึกษา,การติดตามการทำวิทยานิพนธ์ของนักศึกษาอย่างสม่ำเสมอ,การมีความรู้ความเข้าใจในกฎระเบียบ และข้อกำหนดเกี่ยวกับวิทยานิพนธ์,ความรอบรู้ และความชำนาญของอาจารย์ที่ปรึกษาในหัวข้อวิทยานิพนธ์,ความพร้อมในการเป็นอาจารย์ที่ปรึกษา,การสนับสนุนให้นักศึกษาขอทุนสนับสนุนการวิจัย,การสนับสนุนให้นักศึกษานำเสนอผลงานในที่ประชุมหรือตีพิมพ์ในวารสารวิชาการ,ความชื่นชอบอาจารย์ผู้สอน และอาจารย์ที่ปรึกษา,การทำวิทยานิพนธ์และการเผยแพร่ผลงานของนักศึกษา,ปัจจัยส่งผลต่อการสำเร็จการศึกษาของนักศึกษาระดับบัณฑิตศึกษา (โปรดเลือกระดับความสำคัญที่ตรงกับความคิดเห็นของท่านมากที่สุดเพียงระดับเดียว) [3.1 การหาหัวข้อวิทยานิพนธ์],การเขียนเค้าโครงวิทยานิพนธ์,การวางแผนและการดำเนินการวิทยานิพนธ์,"สิ่งเร้าที่ทำให้นักศึกษามีพฤติกรรมในการอยากเรียนและศึกษาค้นคว้า(เพื่อนร่วมเรียนในชั้น,อุปกรณ์และเครื่องมือในการทดล",การเก็บรวบรวมข้อมูล,การวิเคราะห์ข้อมูล,การเขียนวิทยานิพนธ์,การสอบโครงร่างวิทยานิพนธ์,การสอบป้องกันร่างวิทยานิพนธ์,การส่งรูปเล่มวิทยานิพนธ์,การเผยแพร่ผลงานวิทยานิพนธ์,ความพร้อมของนักศึกษา,ท่านมีความรู้ความเข้าใจในกฎระเบียบและข้อกำหนดเกี่ยวกับวิทยานิพนธ์,มีวินัยในตนเอง,มีความใฝ่รู้ใฝ่เรียน,ท่านมีการเข้าพบอาจารย์ที่ปรึกษา หรือติดต่อประสานงานกับอาจารย์ที่ปรึกษา ผ่านช่องทางการสื่อสารต่างๆ,ท่านมีการวางแผนการเรียนระหว่างนักศึกษากับอาจารย์,ความรู้และความสามารถในการวิจัย เช่น การวางแผน/เก็บตัวอย่าง/ทำแลป,มีความสามารถในการสืบค้นข้อมูลในการทำวิทยานิพนธ์ และแหล่งเรียนรู้ต่างๆ,ท่านมีทักษะการเขียน การวิเคราะห์ สรุปผล,เมื่อท่านสำเร็จการศึกษาระดับปริญญาตรี ท่านมีความประสงค์จะศึกษาต่อระดับบัณฑิตศึกษา,มีความต้องการหาประสบการณ์และหาความรู้เพิ่มเติม,มีความเป็นไปได้มากน้อยเพียงใดที่คุณจะแนะนำเราให้กับเพื่อนหรือผู้ร่วมงาน,แรงผลักดันจากครอบครัว,สภาพคล่องด้านการเงิน,ต้องปฏิบัติงานประจำควบคู่ไปด้วยหรือไม่,ระยะเวลาในเดือน
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,2ปี 2เดือน,โสด,ต้องการ,ทราบ,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,2,1,2,3,1,1,ไม่ปฏิบัติ,26
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,24,2ปี,โสด,ต้องการ,ทราบ,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,1,2,2,1,1,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,27,3ปี,โสด,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,2 ปี 6 เดือน,โสด,ต้องการ,ทราบ,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,30,3 ปี,โสด,ต้องการ,ทราบ,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2,1,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,4 ปี,สมรส,ต้องการ,ทราบ,1,1,1,2,1,2,3,3,2,1,1,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,ไม่ปฏิบัติ,48
หลักสูตร ปร.ด.สาขาวิชาการเพาะเลี้ยงสัตว์น้ำและทรัพยากรประมง,หญิง,37,3ปี 6 เดือน,สมรส,ต้องการ,ทราบ,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ไม่ปฏิบัติ,42
หลักสูตร ปร.ด.สาขาวิชาเทคโนโลยียาง,ชาย,31,7 ปี,สมรส,ต้องการ,ทราบ,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ไม่ปฏิบัติ,84
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,3 ปี,โสด,ต้องการ,ทราบ,2,2,2,2,น้อย,2,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,35,2 ปี 6 เดือน,สมรส,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,2,2,2,3,3,3,3,1,ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,หญิง,29,1 ปี 11 เดือน,โสด,ต้องการ,ทราบ,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,ไม่ปฏิบัติ,23
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,ชาย,28,5ปี,โสด,ต้องการ,ไม่มั่นใจ,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,ไม่ปฏิบัติ,60
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,25,2 ปี,โสด,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,27,3 ปี,โสด,ต้องการ,ทราบ,น้อย,2,2,1,น้อย,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,น้อย,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,3,3,1,1,1,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,4 ปี,โสด,ต้องการ,ทราบ,น้อยที่สุด,1,น้อย,1,3,1,1,น้อยที่สุด,2,น้อย,น้อย,1,น้อย,น้อยที่สุด,น้อยที่สุด,น้อยที่สุด,น้อย,1,น้อยที่สุด,1,2,น้อย,น้อย,1,น้อย,น้อย,น้อย,น้อย,2,น้อย,1,1,น้อย,1,1,1,1,2,2,น้อย,2,2,ปฏิบัติ,48
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,ชาย,27,3ปี,โสด,ต้องการ,ทราบ,1,น้อย,น้อย,น้อย,น้อย,น้อย,3,3,3,3,น้อย,3,3,3,2,3,2,2,2,2,น้อย,น้อย,น้อย,2,2,2,2,2,2,น้อย,2,2,2,2,2,2,2,น้อย,น้อย,1,2,น้อย,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,29,2 ปี,โสด,ต้องการ,ทราบ,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,2,1,1,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,29,2 ปี,โสด,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,28,3 ปี,โสด,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,น้อย,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,28,2ปี,โสด,ต้องการ,ทราบ,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,ไม่ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,27,2 ปี,โสด,ต้องการ,ทราบ,2,2,2,3,1,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,ไม่ปฏิบัติ,24
หลักสูตร ปร.ด.สาขาวิชาเทคโนโลยียาง,หญิง,28,4 ปี,โสด,ต้องการ,ทราบ,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,2,2,3,2,3,2,ไม่ปฏิบัติ,48
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,28,3 ปี,โสด,ต้องการ,ทราบ,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,32,4 ปี 6 เดือน,โสด,ไม่แน่ใจ,ทราบ,2,2,2,2,1,2,2,2,2,2,2,3,2,3,2,3,2,3,3,3,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,2,3,2,ปฏิบัติ,54
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,28,2ปี 6 เดือน,โสด,ต้องการ,ทราบ,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,1,2,2,2,2,1,2,2,3,1,ไม่ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,33,2 ปี,โสด,ต้องการ,ทราบ,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,1,1,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,ชาย,26,2 ปี,โสด,ต้องการ,ทราบ,3,2,2,3,2,1,2,2,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,ปฏิบัติ,24
หลักสูตร วท.ม.สาขาวิชาเทคโนโลยียาง,หญิง,29,3 ปี,โสด,ต้องการ,ทราบ,2,2,2,2,2,2,3,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,ไม่ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,5ปี,โสด,ไม่แน่ใจ,ทราบ,2,2,2,2,น้อย,1,3,2,2,2,2,3,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,ไม่ปฏิบัติ,60
หลักสูตร วท.ม.สาขาวิชาคณิตศาสตร์ประยุกต์และวิทยาการคำนวณ,หญิง,27,2 ปี 6 เดือน,โสด,ต้องการ,ทราบ,2,3,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,ไม่ปฏิบัติ,30
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,3 ปี ,โสด,ต้องการ,ทราบ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ปฏิบัติ,36
หลักสูตร วท.ม.สาขาวิชาวิทยาศาสตร์และเทคโนโลยีการเกษตร,หญิง,28,2ปี 9เดือน,โสด,ต้องการ,ทราบ,2,2,2,2,2,1,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,3,ไม่ปฏิบัติ,33
หลักสูตร วท.ม.สาขาวิชาเคมีประยุกต์,หญิง,29,4 ปี,โสด,ต้องการ,ทราบ,2,2,2,2,1,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,ปฏิบัติ,48
